Page,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
accounts page,2256,2046,1758,13,59,320,480,10
accounts page,2542,2312,1911,13,59,357,516,10
accounts page,2187,2295,1700,13,59,318,439,10
contacts page,1955,1830,1501,13,54,231,210,10
contacts page,2973,6022,1811,19,81,342,290,14
contacts page,1935,1743,1459,13,54,231,204,10
contacts page,2253,2053,1743,19,81,332,255,14
opportunities page,1793,1873,1720,12,53,185,262,9
opportunities page,5835,1859,3959,13,59,192,150,10
opportunities page,5125,1814,3733,13,59,201,161,10
