Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Invalid,2073,2316,1551,13,50,287,556,10
Success,2238,2519,1686,13,50,287,565,10
Invalid,2704,2713,1966,13,53,291,485,10
Success,2138,2361,1711,13,50,285,557,10
Invalid,2167,2085,1721,13,50,300,536,10
Regression,2828,2256,1660,13,52,289,306,10
Regression,3558,2478,2771,14,60,292,513,11
Success,2246,1939,1683,13,50,285,515,10
Invalid,2278,2143,1685,13,52,291,502,10
Invalid,2441,2239,1695,13,59,321,517,10
Regression,2545,2295,1935,13,54,321,474,10
Success,2195,2025,1800,13,59,319,481,10
Success,2427,2764,1723,13,52,331,544,10
Success,2149,2356,1642,13,50,287,575,10
Regression,4827,8433,1705,13,73,540,635,10
Success,2260,1976,1734,13,50,285,518,10
Regression,4995,8349,1765,13,73,534,580,10
Success,2149,2356,1642,13,50,287,575,10
Success,2450,2247,1766,13,54,292,484,10
Success,2049,2302,1642,13,50,329,494,10
Success,2113,2199,1604,13,50,329,493,10
Success,2456,2578,1679,13,52,289,722,10
Regression,4679,8289,1670,13,73,540,586,10
Success,2148,2241,1639,13,50,289,575,10
Success,2211,2187,1610,13,52,285,510,10
Success,2353,2584,1830,13,59,377,528,10
Invalid,4386,7581,1741,13,73,538,584,10
Invalid,2502,2276,1922,13,59,325,467,10
Invalid,2653,2076,1817,13,50,329,491,10
Invalid,2150,2414,1619,13,50,292,639,10
Success,2389,2244,2837,13,54,319,479,10
Success,2237,2279,1617,13,50,285,507,10
Invalid,2154,1786,1733,13,0,0,0,11
Error,2135,1206,1132,10,29,156,294,6
Regression,2772,2143,1596,14,52,291,314,10
Invalid,2221,2504,1815,13,59,323,472,10
Invalid,2638,2059,1882,13,59,323,477,10
Invalid,4932,8207,1778,13,73,540,589,10
Success,2297,2119,1713,13,54,319,475,10
Regression,4985,5289,1762,14,52,287,3346,10
Invalid,2267,2189,1684,13,52,287,564,10
Success,2239,2310,1676,13,52,287,502,10
Invalid,2366,2343,1754,13,59,319,612,10
Success,2092,2398,1668,13,50,333,481,10
Invalid,2377,2941,2064,12,57,314,178,10
Success,2222,2096,1756,13,59,321,510,10
Invalid,2059,2067,1544,13,0,0,0,11
Success,2244,2264,1819,13,50,291,519,10
Invalid,3290,3839,1625,13,52,289,1859,10
Success,2274,1962,1767,13,52,287,497,10
Regression,4598,5370,1643,14,52,287,3447,10
Regression,3201,2330,3174,14,58,290,505,11
Regression,3939,2529,2931,14,60,292,544,11
Success,2146,2405,1610,13,59,321,498,10
Invalid,2331,2698,1654,13,59,387,607,10
Invalid,4029,4301,1635,14,52,285,2344,10
Invalid,3372,3435,1617,14,52,285,1407,10
Success,2252,2085,1908,13,0,0,0,11
Invalid,2229,2249,1755,13,50,338,488,10
Success,2323,2005,1753,13,52,287,514,10
Success,2340,2097,1675,13,52,289,491,10
Success,2201,2401,1748,13,59,317,476,10
Regression,3157,2394,1742,13,52,287,318,10
Invalid,3558,4385,1625,14,52,289,2352,10
Success,2263,1999,1701,13,50,293,506,10
Success,2200,2266,1684,13,50,321,483,10
Success,2109,2501,1590,13,50,323,478,10
Invalid,3637,1965,3032,12,49,285,379,10
Regression,2869,2414,2177,13,50,289,557,10
Invalid,2446,2084,1917,13,59,321,511,10
Invalid,2166,2653,1608,13,50,337,476,10
Success,2117,2492,1745,13,59,319,471,10
Invalid,266,163,365,2,0,1,0,2
Success,2171,2478,1715,13,50,293,606,10
Invalid,1816,1662,1023,9,32,152,298,6
Invalid,2368,2656,1778,13,63,326,522,10
Regression,2752,2155,1656,13,52,289,300,10
Success,2351,2556,1714,13,52,285,473,10
Success,2332,2193,1836,13,58,317,345,10
Success,2312,2485,1626,13,52,287,487,10
Regression,2925,2220,1719,14,52,285,310,10
Success,2230,1967,1704,13,50,285,505,10
Success,2197,1923,1649,13,50,285,513,10
Regression,2917,2471,1644,13,52,287,556,10
Success,2189,2121,1726,13,50,289,523,10
Success,2259,2291,1816,13,50,329,481,10
Invalid,2246,2898,1661,13,52,287,540,10
Regression,2555,1861,1950,13,59,325,485,10
Regression,2732,2316,2079,13,50,287,568,10
Regression,2585,1934,1911,13,59,321,483,10
Success,2139,2037,1678,13,59,325,493,10
Invalid,2356,2514,1797,13,59,319,475,10
Success,2265,2282,1871,13,50,287,546,10
Invalid,1598,2153,1390,12,57,317,400,10
Success,2322,2334,1725,13,50,396,507,10
Invalid,2180,2267,1632,13,50,285,523,10
Success,2173,2440,1811,13,50,289,534,10
Success,2177,2874,1552,13,59,327,559,10
Success,2110,1974,1613,13,50,287,512,10
Regression,2590,2292,1610,14,52,289,418,10
Success,2244,2194,1613,13,59,321,477,10
Success,2146,2386,1664,13,50,289,577,10
Invalid,1886,2146,1326,13,52,285,482,10
Invalid,2248,2382,1803,13,59,321,481,10
Regression,2524,2324,1912,13,59,317,500,10
Success,2172,2061,1870,13,50,293,523,10
Regression,2627,2075,2030,13,59,327,456,10
Regression,2870,2339,1644,14,52,293,373,10
Regression,3013,1840,2971,12,50,283,374,10
Success,2185,1951,1607,13,52,293,514,10
Regression,2763,2399,1629,13,52,291,306,10
Invalid,3609,4142,1743,13,52,614,1574,10
Success,2333,2337,1773,13,58,323,346,10
Success,2189,2463,1537,13,59,317,483,10
Success,2269,2037,1888,13,50,287,506,10
Success,2268,2004,1673,13,52,287,468,10
Invalid,10609,20147,1644,13,73,532,585,10
Invalid,2090,2199,1624,13,52,287,532,10
Success,2061,2030,1760,13,52,262,396,10
Success,2208,2084,1849,13,59,315,459,10
Invalid,2110,2194,1685,13,50,287,528,10
Invalid,2051,2110,1579,13,0,0,0,11
Success,2171,2035,1657,13,50,291,511,10
Invalid,4508,5446,1764,14,52,285,3516,10
Regression,2730,3552,1718,13,52,337,521,10
Regression,2843,2177,1629,13,52,289,331,10
Invalid,2377,2290,1697,13,54,288,490,10
Invalid,2487,2443,1764,13,54,292,548,10
Success,2171,2035,1657,13,50,291,511,10
Success,2359,2519,1749,13,52,289,484,10
Success,2153,2045,1605,13,50,291,533,10
Success,2196,2438,1782,13,59,315,455,10
Success,2298,2975,2024,13,59,318,278,10
Success,2100,2341,1618,13,50,291,542,10
Invalid,2206,2162,1838,13,59,315,478,10
Invalid,2127,3022,1614,13,59,318,695,10
Success,2321,2548,1749,13,54,319,513,10
Regression,2538,2115,1770,13,59,321,484,10
Regression,2962,2268,1665,13,52,287,327,10
Success,2240,1944,1698,13,50,289,518,10
Invalid,3869,4506,1615,13,52,287,2589,10
Success,2176,2137,1744,13,50,291,523,10
Success,2128,2043,1773,13,59,319,521,10
Invalid,2405,2025,1778,13,52,285,481,10
Success,2165,2119,1697,13,58,316,358,10
Success,2228,2499,1701,13,50,333,469,10
Regression,3729,4789,1656,13,52,291,2351,10
Success,2479,2183,2031,13,59,319,490,10
Success,2214,1701,1890,13,0,0,0,11
Invalid,2081,2162,1668,13,50,287,527,10
Invalid,2178,2178,1781,13,51,289,514,10
Success,2322,2601,1633,13,59,321,477,10
Regression,2611,2534,1897,13,54,290,507,10
Success,2135,2042,1795,13,59,321,518,10
Invalid,2330,2328,1747,13,52,293,501,10
Regression,2645,2329,1672,13,52,289,375,10
Regression,3051,2444,2104,13,59,317,481,10
Success,2100,2082,1708,13,58,320,349,10
