timeStamp	cnt	avg(runTime)	avg(dbTime)	avg(cpuTime)	avg(vfTime)
16-05-08 18:00	14722	147.461711	80.2226	33.264864	14.112727
16-05-08 19:00	69991	150.968077	84.852538	33.720686	14.527877
16-05-08 20:00	50998	149.621257	96.74895	32.747635	13.491562
16-05-08 21:00	38152	146.140919	92.198641	33.091016	13.847799
16-05-08 22:00	23062	146.050098	90.379857	32.914521	13.915259
16-05-08 23:00	11660	149.611302	88.005239	35.143765	15.100824
16-05-09 00:00	9854	165.219839	74.96148	43.295863	21.325135
16-05-09 01:00	5768	147.284995	83.605766	35.569295	16.381209
16-05-09 02:00	5888	179.114004	110.267313	38.794453	16.598435
16-05-09 03:00	19727	156.021134	107.100081	37.364458	6.216419
16-05-09 04:00	39987	131.510779	91.273915	33.927705	4.61486
16-05-09 05:00	59583	185.686921	103.387387	36.432449	13.545071
16-05-09 06:00	224209	147.111408	51.041676	40.40928	20.251083
16-05-09 07:00	431120	155.843394	53.179175	42.503135	22.74516
16-05-09 08:00	541605	165.649595	57.567408	44.412091	24.136273
16-05-09 09:00	597749	167.75544	56.345976	45.247284	25.183744
16-05-09 10:00	530761	157.223563	47.12836	44.300534	24.517373
16-05-09 11:00	520870	163.692867	53.018451	44.136287	23.831162
16-05-09 12:00	482656	170.011801	50.966705	44.871653	27.216852
16-05-09 13:00	494768	180.011942	55.062793	45.480157	27.789206
16-05-09 14:00	519625	202.118346	60.84986	47.673482	35.654073
16-05-09 15:00	536172	175.64922	52.745564	46.820688	28.047876
16-05-09 16:00	464191	154.777667	48.585308	43.117816	22.501281
16-05-09 17:00	402967	162.965842	49.377499	41.397236	20.277686
16-05-09 18:00	179253	157.93605	72.067612	38.810488	15.826671
16-05-09 19:00	103475	161.780791	73.564448	38.076273	15.917042
16-05-09 20:00	58091	153.016497	93.288672	36.804961	15.007409
16-05-09 21:00	42534	152.323417	93.00882	37.503039	15.977086
16-05-09 22:00	22842	154.398133	92.684004	37.081917	15.483132
16-05-09 23:00	12093	148.136201	86.458358	35.805391	16.992595
16-05-10 00:00	9385	185.171563	75.320395	49.501179	25.4095
16-05-10 01:00	5410	139.607628	81.754047	33.693395	14.583256
16-05-10 02:00	5403	137.239053	79.320291	32.871809	13.929011
16-05-10 03:00	19210	150.20281	107.34822	36.547832	5.358495
16-05-10 04:00	38528	140.110763	95.250203	37.090241	6.041147
16-05-10 05:00	60800	228.155201	107.910329	41.956059	15.130828
16-05-10 06:00	218039	162.003129	63.155493	42.576266	20.860699
16-05-10 07:00	383920	162.019139	60.030214	43.795424	21.804024
16-05-10 08:00	484291	168.582931	59.263933	46.3593	24.596745
16-05-10 09:00	535806	168.272045	54.825961	46.776037	25.191926
16-05-10 10:00	502194	162.7225	54.682182	45.65509	24.070021
16-05-10 11:00	484216	162.156078	51.831337	45.80249	23.994393
16-05-10 12:00	463998	157.648865	48.209744	46.180184	24.491598
16-05-10 13:00	464599	164.274667	49.073564	46.99735	24.961788
16-05-10 14:00	488512	159.401354	47.48241	46.25682	24.671534
16-05-10 15:00	494288	163.69532	50.323759	45.342155	23.860437
16-05-10 16:00	465057	155.089548	49.210158	43.043859	22.076929
16-05-10 17:00	398313	160.223497	49.90848	40.997249	19.390505
16-05-10 18:00	164965	167.471781	77.098976	39.09357	16.255969
16-05-10 19:00	115601	154.755475	77.593285	37.291906	15.34197
16-05-10 20:00	64088	156.062858	98.825253	36.528938	14.75024
16-05-10 21:00	39866	147.031282	92.189541	35.274463	14.262954
16-05-10 22:00	21849	150.872964	93.141654	36.12611	14.688564
16-05-10 23:00	12177	146.74396	84.238024	37.313408	16.014446
16-05-11 00:00	10405	169.189018	70.837707	47.402818	23.960155
16-05-11 01:00	5475	142.363133	79.461766	35.548024	15.500924
16-05-11 02:00	5553	130.644444	75.478142	32.012022	13.255009
16-05-11 03:00	21751	137.825612	98.066378	33.607917	5.04112
16-05-11 04:00	39223	125.504567	84.966562	32.726353	5.27891
16-05-11 05:00	59349	205.017294	113.983764	37.684944	14.954992
16-05-11 06:00	227502	154.431109	53.412423	40.500209	20.798225
16-05-11 07:00	360814	163.933084	53.531602	43.981048	23.387744
16-05-11 08:00	440050	163.825399	54.665444	44.528722	24.458407
16-05-11 09:00	500979	167.98662	55.732231	44.792494	24.818008
16-05-11 10:00	445274	163.382986	50.82256	46.311874	25.170811
16-05-11 11:00	455595	168.104747	55.459665	45.934553	24.480687
16-05-11 12:00	447864	158.049396	46.343226	46.149771	25.358643
16-05-11 13:00	442322	168.312128	49.452372	47.355602	25.8029
16-05-11 14:00	502951	161.194961	46.125045	46.725294	25.665894
16-05-11 15:00	510945	162.870828	48.756918	45.659498	24.24546
16-05-11 16:00	457227	159.25559	51.978622	43.166092	22.272101
16-05-11 17:00	364564	165.747552	52.86149	41.620036	20.856514
16-05-11 18:00	148990	155.926923	69.57463	38.785374	17.498549
16-05-11 19:00	105897	156.640986	78.370794	36.893533	16.073016
16-05-11 20:00	68927	151.794064	93.325488	35.837087	14.711555
16-05-11 21:00	41347	148.717436	94.055133	35.087721	14.369376
16-05-11 22:00	24349	148.415766	92.344025	34.486006	13.888801
16-05-11 23:00	12077	146.174685	87.101682	35.034819	14.522708
16-05-12 00:00	10200	168.850299	72.573108	47.530279	22.80488
16-05-12 01:00	6007	132.936739	74.503383	33.803958	15.114175
16-05-12 02:00	6219	129.179114	73.375878	32.094133	14.313286
16-05-12 03:00	16209	178.440013	135.789715	33.073189	6.275384
16-05-12 04:00	40680	143.778544	100.228979	33.260523	6.192287
16-05-12 05:00	81988	152.400419	83.837257	35.172083	10.524449
16-05-12 06:00	225738	155.614894	60.342739	40.081353	19.427972
16-05-12 07:00	403388	154.50545	53.364234	42.230836	20.893168
16-05-12 08:00	496605	171.238515	60.64371	46.737429	25.154567
16-05-12 09:00	528109	166.403364	56.42597	46.723538	24.747675
16-05-12 10:00	477113	165.042257	55.139173	46.392772	24.891245
16-05-12 11:00	488428	170.24387	61.155062	45.707139	23.82411
16-05-12 12:00	447246	166.879615	57.048405	46.127141	24.524212
16-05-12 13:00	476763	171.069985	54.142935	47.240887	25.079319
16-05-12 14:00	489953	161.610203	48.386719	46.298672	24.596546
16-05-12 15:00	488931	164.796634	50.769968	45.280719	23.556794
16-05-12 16:00	426072	162.9396	53.675856	43.26094	22.062582
16-05-12 17:00	358801	173.06382	57.601404	41.429982	19.898038
16-05-12 18:00	154289	157.368474	74.929026	38.747132	15.458771
16-05-12 19:00	107345	160.336088	82.827562	38.375343	15.410883
16-05-12 20:00	60787	160.132626	100.935969	36.973421	15.089855
16-05-12 21:00	39170	153.749603	96.792421	35.485454	14.808308
16-05-12 22:00	22674	153.443589	93.73183	35.524054	15.379461
16-05-12 23:00	11529	151.267593	89.484907	36.282287	15.753386
16-05-13 00:00	9925	176.045665	75.125887	47.794199	23.362851
16-05-13 01:00	5669	138.430218	80.093823	33.467855	14.794345
16-05-13 02:00	5979	142.123313	82.411614	33.408198	14.753715
16-05-13 03:00	14957	185.032573	133.204657	40.128312	9.325458
16-05-13 04:00	41059	141.748824	96.068523	36.238138	6.300192
16-05-13 05:00	74528	173.8921	98.656736	38.276262	11.469536
16-05-13 06:00	240087	154.075209	56.585704	42.450274	19.375078
16-05-13 07:00	402056	171.786423	61.213035	44.107392	22.281009
16-05-13 08:00	486229	173.51571	60.58814	46.665983	24.684398
16-05-13 09:00	521365	172.038418	59.680251	47.138433	24.742584
16-05-13 10:00	460995	169.450332	57.564329	46.412607	24.332542
16-05-13 11:00	437487	178.426994	67.837786	46.220927	23.625901
16-05-13 12:00	435618	170.204338	59.749561	46.523032	24.224388
16-05-13 13:00	438146	166.928958	51.290117	46.355819	24.343729
16-05-13 14:00	459157	159.504433	48.195068	45.742756	24.111048
